Id,Requester id,Group,Status,Priority,Via,Created at,Updated at,Assigned at,Initially assigned at,Solved at,Resolution time,Satisfaction Score,Reopens,Replies,First reply time in minutes within business hours,First resolution time in minutes,First resolution time in minutes within business hours,Full resolution time in minutes,Full resolution time in minutes within business hours,Requester wait time in minutes,Requester wait time in minutes within business hours,Manual Tagging of Categories [list]
303422,7309754761245,Reimbursement Claims,Solved,Low,Mail,2023-04-14 19:49:00,2023-06-06 01:59:00,2023-05-25 14:38:00,2023-04-14 20:21:00,2023-06-06 01:59:00,1254.0,Offered,1,9,71.0,10070.0,5030.0,75250.0,37511.0,17109.0,8889.0,-
304148,10088583544477,Support,Closed,Low,Mail,2023-04-16 09:24:00,2023-05-31 06:09:00,2023-04-16 11:56:00,2023-04-16 11:56:00,2023-05-02 12:11:00,387.0,Offered,1,5,177.0,177.0,177.0,23207.0,11687.0,2569.0,1296.0,Claims
314932,7302855500317,Reimbursement Claims,Closed,Low,Mail,2023-04-28 10:06:00,2023-06-15 16:37:00,2023-05-09 16:55:00,2023-04-28 10:36:00,2023-05-26 15:58:00,678.0,Offered,1,12,263.0,16248.0,8328.0,40672.0,20512.0,28327.0,14467.0,-
328272,10129329292317,Support,Solved,Low,Mail,2023-05-15 12:13:00,2023-06-02 16:34:00,2023-05-15 13:07:00,2023-05-15 13:07:00,2023-06-02 16:34:00,436.0,4,1,2,73.0,73.0,73.0,26181.0,13221.0,226.0,226.0,Claims
334467,7424530468637,Support,Solved,Low,Mail,2023-05-22 12:49:00,2023-06-14 12:04:00,2023-05-22 13:15:00,2023-05-22 13:15:00,2023-06-13 19:42:00,535.0,1,1,12,87.0,469.0,469.0,32092.0,16252.0,12433.0,6672.0,Claims
336807,11140533470749,Support,Solved,Low,Mail,2023-05-24 13:27:00,2023-05-31 16:37:00,2023-05-24 14:08:00,2023-05-24 14:08:00,2023-05-31 16:37:00,171.0,Offered,1,7,67.0,2775.0,1335.0,10270.0,5230.0,4359.0,2199.0,Is my treatment covered (IMTC)
291597,10169154413085,Reimbursement Claims,Hold,Low,Mail,2023-04-01 19:41:00,2023-04-24 14:55:00,2023-04-03 15:12:00,2023-04-02 15:01:00,2023-05-31 16:37:00,96.0,Offered,1,7,1289.0,2729.0,1289.0,5751.0,2880.0,20162.0,10110.0,-
294411,8593330950045,Reimbursement Claims,Closed,Low,Mail,2023-04-05 10:18:00,2023-06-07 07:36:00,2023-04-05 12:54:00,2023-04-05 12:54:00,2023-05-10 12:45:00,842.0,Offered,1,10,1148.0,1868.0,1148.0,50547.0,25347.0,45983.0,14678.0,-
294537,8024543215773,Reimbursement Claims,Closed,Low,Mail,2023-04-05 11:47:00,2023-05-17 06:11:00,2023-04-05 13:11:00,2023-04-05 13:11:00,2023-04-18 15:42:00,316.0,Offered,1,7,426.0,426.0,426.0,18955.0,9595.0,13043.0,6837.0,-
296080,7302854046237,Support,Closed,Low,Internal Communication,2023-04-06 16:06:00,2023-06-02 06:09:00,2023-04-06 16:27:00,2023-04-06 16:27:00,2023-05-04 13:12:00,669.0,Offered,1,1,43.0,43.0,43.0,40146.0,19986.0,1901.0,1181.0,-
298833,7223314000285,Support,Closed,Low,Internal Communication,2023-04-10 18:29:00,2023-06-05 05:59:00,2023-04-10 18:49:00,2023-04-10 18:49:00,2023-05-07 09:37:00,639.0,Offered,1,8,34.0,291.0,150.0,38348.0,18908.0,16164.0,8798.0,-
299964,8565186242589,Endorsements,Closed,Low,Mail,2023-04-11 17:46:00,2023-06-15 17:37:00,2023-04-11 21:32:00,2023-04-11 21:32:00,2023-05-26 16:37:00,1079.0,Offered,1,7,305.0,1025.0,305.0,64731.0,32331.0,13216.0,6735.0,-
304340,8634205437597,Reimbursement Claims,Closed,Low,Mail,2023-04-16 20:36:00,2023-06-07 06:10:00,2023-04-17 14:52:00,2023-04-17 14:52:00,2023-05-09 12:08:00,544.0,Offered,1,7,838.0,2278.0,838.0,32612.0,16052.0,20435.0,10170.0,-
309009,10523342071837,Support,Closed,Low,Mail,2023-04-21 10:20:00,2023-04-28 09:59:00,2023-04-28 09:59:00,2023-04-21 10:46:00,2023-04-28 09:59:00,168.0,4,1,3,63.0,468.0,468.0,10059.0,5019.0,2848.0,1408.0,Claims
309440,6659076264989,Onboardings,Closed,Low,Mail,2023-04-21 15:43:00,2023-06-07 06:45:00,2023-04-24 10:36:00,2023-04-24 10:36:00,2023-05-17 15:42:00,624.0,Offered,1,7,1981.0,4141.0,1981.0,37439.0,18719.0,4828.0,2309.0,-
311482,7302240593949,Reimbursement Claims,Closed,Low,Mail,2023-04-24 20:16:00,2023-06-08 16:35:00,2023-04-26 17:13:00,2023-04-25 10:00:00,2023-05-19 16:19:00,596.0,Offered,1,0,478.0,22375.0,10855.0,35762.0,17222.0,26946.0,13266.0,-
320228,10768136922013,Support,Solved,Low,Mail,2023-05-04 20:10:00,2023-05-30 09:43:00,2023-05-05 10:34:00,2023-05-05 10:34:00,2023-05-30 09:43:00,614.0,4,1,9,157.0,5105.0,2225.0,36814.0,18094.0,13206.0,6162.0,Is my treatment covered (IMTC)
322735,7302762713245,Reimbursement Claims,Closed,Low,Mail,2023-05-08 15:24:00,2023-06-11 17:37:00,2023-05-12 13:16:00,2023-05-08 15:38:00,2023-05-22 17:03:00,338.0,Offered,1,7,1598.0,5632.0,2752.0,20259.0,10179.0,15538.0,7844.0,-
322829,7302628482205,Support,Solved,Low,Mail,2023-05-08 16:36:00,2023-06-13 12:42:00,2023-05-08 17:26:00,2023-05-08 17:26:00,2023-06-13 12:42:00,860.0,4,1,8,72.0,2671.0,1231.0,51606.0,25686.0,6843.0,3243.0,Claims
339791,7235574837405,Support,Solved,Low,Internal Communication,2023-05-26 22:57:00,2023-06-12 18:11:00,2023-05-27 11:46:00,2023-05-27 11:46:00,2023-06-12 18:11:00,403.0,Offered,1,1,181.0,783.0,181.0,24193.0,12071.0,1189.0,587.0,-
340666,11219324832541,Support,Solved,Low,Mail,2023-05-28 18:10:00,2023-06-11 17:12:00,2023-06-08 14:29:00,2023-05-28 18:27:00,2023-06-11 17:12:00,335.0,4,1,12,17.0,61.0,61.0,20102.0,10022.0,12167.0,5821.0,Claims
341714,11237848082845,Support,Solved,Low,Mail,2023-05-29 20:55:00,2023-06-14 09:20:00,2023-05-30 09:35:00,2023-05-30 09:35:00,2023-06-14 09:20:00,372.0,1,1,7,99.0,819.0,99.0,22345.0,10825.0,3782.0,936.0,Health ID
295790,7303450074269,Reimbursement Claims,Closed,Low,OutBound,2023-04-06 12:21:00,2023-05-04 15:01:00,2023-04-06 12:21:00,2023-04-06 12:21:00,2023-05-04 15:01:00,675.0,Offered,1,4,26.0,7602.0,4002.0,40480.0,20320.0,12935.0,6546.0,-
297965,10310412486429,Support,Closed,Low,Mail,2023-04-09 17:56:00,2023-05-10 06:10:00,2023-04-10 10:13:00,2023-04-10 10:13:00,2023-04-11 09:18:00,39.0,2,1,3,290.0,1253.0,533.0,2362.0,922.0,1544.0,638.0,Others
298525,8458428765597,Reimbursement Claims,Closed,Low,Mail,2023-04-10 14:54:00,2023-06-07 07:36:00,2023-04-10 16:56:00,2023-04-10 16:56:00,2023-05-11 10:57:00,740.0,Offered,1,5,237.0,237.0,237.0,44403.0,22083.0,24980.0,12740.0,-
298606,7237209522461,Support,Closed,Low,Internal Communication,2023-04-10 15:43:00,2023-05-10 06:10:00,2023-04-10 16:31:00,2023-04-10 16:31:00,2023-04-11 11:19:00,20.0,Offered,1,3,51.0,51.0,51.0,1175.0,455.0,921.0,201.0,-
299797,7303451672093,Support,Closed,Low,Mail,2023-04-11 15:51:00,2023-06-07 07:36:00,2023-04-11 17:10:00,2023-04-11 17:10:00,2023-05-13 12:33:00,765.0,4,1,8,125.0,2727.0,1287.0,45882.0,22842.0,13456.0,6948.0,Claims
301867,10378142912029,Support,Open,Low,Mail,2023-04-13 13:00:00,2023-06-18 00:54:00,2023-05-22 17:52:00,2023-04-13 15:05:00,2023-05-13 12:33:00,96.0,Offered,1,12,157.0,8461.0,4141.0,5751.0,2880.0,53181.0,14678.0,Others
302005,10298585586973,Support,Open,Low,OutBound,2023-04-13 15:05:00,2023-04-20 17:17:00,2023-04-13 15:05:00,2023-04-13 15:05:00,2023-05-13 12:33:00,96.0,Offered,1,7,552.0,1803.0,1074.0,5751.0,2880.0,3744.0,2065.0,Claims
302998,7303505723549,Reimbursement Claims,Closed,Low,OutBound,2023-04-14 13:26:00,2023-06-07 07:35:00,2023-04-14 13:26:00,2023-04-14 13:26:00,2023-05-11 15:21:00,650.0,Offered,1,6,2614.0,0.0,0.0,38995.0,19555.0,27701.0,13982.0,-
303326,9659717562141,Reimbursement Claims,Solved,Low,OutBound,2023-04-14 18:10:00,2023-06-09 20:16:00,2023-04-14 18:10:00,2023-04-14 18:10:00,2023-06-09 20:16:00,1346.0,Offered,1,7,2330.0,4570.0,2330.0,80766.0,40446.0,41201.0,14678.0,-
303899,7251420301085,Support,Solved,Low,Mail,2023-04-15 14:49:00,2023-06-07 21:13:00,2023-04-15 15:50:00,2023-04-15 15:50:00,2023-06-07 21:13:00,1278.0,Offered,1,9,103.0,7570.0,3970.0,76704.0,38531.0,24805.0,13927.0,Health ID
306330,7235158982301,Endorsements,Solved,Low,Mail,2023-04-18 19:04:00,2023-05-30 12:02:00,2023-04-27 12:41:00,2023-04-19 12:29:00,2023-05-30 12:02:00,1001.0,Offered,1,22,698.0,1418.0,698.0,60058.0,29818.0,9203.0,4163.0,-
308105,8697284753181,Reimbursement Claims,Solved,Low,Mail,2023-04-20 12:38:00,2023-06-12 14:37:00,2023-04-20 12:49:00,2023-04-20 12:49:00,2023-06-12 14:37:00,1274.0,Offered,1,13,348.0,348.0,348.0,76439.0,38279.0,56267.0,14678.0,-
308121,8571917630493,Onboardings,Closed,Low,Closed Ticket,2023-04-20 12:51:00,2023-06-07 06:45:00,2023-04-25 17:42:00,2023-04-20 20:11:00,2023-05-12 11:54:00,527.0,Offered,1,1,829.0,1549.0,829.0,31623.0,15783.0,4729.0,2569.0,-
310210,10472021062173,Support,Closed,Low,Mail,2023-04-22 17:57:00,2023-05-31 06:09:00,2023-04-23 12:31:00,2023-04-23 12:31:00,2023-05-02 17:59:00,240.0,4,1,3,402.0,1122.0,402.0,14403.0,7203.0,4576.0,2424.0,Claims
310660,9452047749149,Support,Hold,Low,Mail,2023-04-24 09:52:00,2023-06-18 12:04:00,2023-04-24 10:20:00,2023-04-24 10:20:00,2023-05-02 17:59:00,96.0,Offered,1,24,101.0,5853.0,2973.0,5751.0,2880.0,25681.0,12721.0,Is my treatment covered (IMTC)
314034,7303504054301,Reimbursement Claims,Open,Low,Mail,2023-04-27 11:45:00,2023-06-19 06:46:00,2023-05-29 14:10:00,2023-04-27 12:26:00,2023-05-02 17:59:00,96.0,Offered,1,6,299.0,299.0,299.0,5751.0,2880.0,32534.0,14678.0,-
315109,8035295335197,Onboardings,Pending,Low,Mail,2023-04-28 12:07:00,2023-06-02 14:03:00,2023-05-02 12:20:00,2023-05-02 12:20:00,2023-05-02 17:59:00,96.0,Offered,1,22,2893.0,37429.0,18709.0,5751.0,2880.0,10307.0,5267.0,-
315559,10656835778333,Reimbursement Claims,Solved,Low,Mail,2023-04-28 18:45:00,2023-06-03 18:39:00,2023-05-01 18:14:00,2023-05-01 18:14:00,2023-06-02 20:40:00,842.0,Offered,1,6,3147.0,6747.0,3147.0,50516.0,25316.0,19348.0,9988.0,-
315786,7302623591581,Endorsements,Solved,Low,Mail,2023-04-29 07:00:00,2023-06-06 17:28:00,2023-05-12 12:40:00,2023-05-12 12:40:00,2023-06-06 17:28:00,922.0,Offered,1,7,12444.0,37653.0,18813.0,55348.0,27868.0,25467.0,13108.0,-
315917,7223472162077,Support,Closed,Low,Internal Communication,2023-04-29 11:52:00,2023-06-16 12:36:00,2023-04-29 13:11:00,2023-04-29 13:11:00,2023-05-27 12:10:00,672.0,Offered,1,5,114.0,114.0,114.0,40338.0,20178.0,1463.0,743.0,Claims
317579,10496664092445,Support,Closed,Low,Mail,2023-05-02 15:26:00,2023-06-14 10:33:00,2023-05-02 16:00:00,2023-05-02 16:00:00,2023-05-25 09:30:00,546.0,Offered,1,9,67.0,67.0,67.0,32764.0,16204.0,14529.0,6610.0,-
318020,7985854783773,Reimbursement Claims,Solved,Low,Mail,2023-05-03 03:39:00,2023-06-15 10:53:00,2023-05-03 13:39:00,2023-05-03 13:39:00,2023-06-15 10:53:00,1039.0,Offered,1,6,340.0,661.0,340.0,62354.0,31073.0,41295.0,14678.0,-
319459,8200468405021,Support,Closed,Low,Mail,2023-05-04 12:04:00,2023-06-08 09:33:00,2023-05-04 13:00:00,2023-05-04 13:00:00,2023-05-19 09:25:00,357.0,Offered,1,5,69.0,69.0,69.0,21441.0,10641.0,1077.0,357.0,Claims
319491,7254610497309,Support,Closed,Low,Internal Communication,2023-05-04 12:24:00,2023-06-04 06:02:00,2023-05-04 12:53:00,2023-05-04 12:53:00,2023-05-06 12:38:00,48.0,Offered,1,7,48.0,48.0,48.0,2894.0,1454.0,135.0,135.0,Health ID
322999,10834117025309,Reimbursement Claims,Open,Low,Mail,2023-05-08 18:22:00,2023-06-17 12:17:00,2023-05-29 14:09:00,2023-05-08 18:34:00,2023-05-06 12:38:00,96.0,Offered,1,11,32.0,5530.0,2650.0,5751.0,2880.0,30240.0,14506.0,-
323275,8609239210269,Reimbursement Claims,Hold,Low,Mail,2023-05-09 09:55:00,2023-06-12 18:51:00,2023-05-16 10:14:00,2023-05-09 13:00:00,2023-05-06 12:38:00,96.0,Offered,1,18,1146.0,30474.0,15354.0,5751.0,2880.0,48426.0,14678.0,-
323335,8958865894429,Reimbursement Claims,Open,Low,Mail,2023-05-09 10:48:00,2023-06-16 18:58:00,2023-05-09 13:12:00,2023-05-09 10:51:00,2023-05-06 12:38:00,96.0,Offered,1,9,66.0,3215.0,1775.0,5751.0,2880.0,40867.0,14678.0,-
325985,9384376686109,Reimbursement Claims,Solved,Low,Mail,2023-05-11 21:34:00,2023-06-07 18:24:00,2023-05-12 10:44:00,2023-05-12 10:44:00,2023-06-07 18:24:00,645.0,Offered,1,14,353.0,19679.0,9633.0,38691.0,19285.0,36179.0,14678.0,-
329861,7302860914077,Support,Solved,Low,Mail,2023-05-16 16:58:00,2023-05-31 06:09:00,2023-05-16 17:04:00,2023-05-16 17:04:00,2023-05-31 06:09:00,349.0,3,1,8,19.0,1717.0,962.0,20951.0,10322.0,8696.0,4512.0,Is my treatment covered (IMTC)
333139,7223313994525,Endorsements,Open,Low,Mail,2023-05-19 17:50:00,2023-06-17 12:28:00,2023-05-22 12:56:00,2023-05-22 12:56:00,2023-05-31 06:09:00,96.0,Offered,1,7,4631.0,18728.0,9368.0,5751.0,2880.0,15300.0,7380.0,-
333961,7636223730077,Reimbursement Claims,Solved,Low,Mail,2023-05-21 10:43:00,2023-06-15 23:31:00,2023-05-22 10:07:00,2023-05-22 10:07:00,2023-06-15 23:31:00,613.0,Offered,1,5,1336.0,2198.0,1336.0,36768.0,18616.0,12439.0,6922.0,-
335440,11116238863773,Support,Solved,Low,Mail,2023-05-23 10:30:00,2023-06-18 10:49:00,2023-05-23 10:41:00,2023-05-23 10:41:00,2023-06-18 10:49:00,624.0,Offered,1,5,102.0,313.0,313.0,37458.0,18738.0,10121.0,5081.0,Claims
337088,11019589706013,Reimbursement Claims,Hold,Low,Mail,2023-05-24 16:53:00,2023-06-13 22:19:00,2023-05-25 10:10:00,2023-05-25 10:10:00,2023-06-18 10:49:00,96.0,Offered,1,8,671.0,7283.0,3683.0,5751.0,2880.0,24705.0,12386.0,-
341011,11228795899549,Support,Solved,Low,Mail,2023-05-29 12:04:00,2023-06-06 17:40:00,2023-05-29 12:34:00,2023-05-29 12:34:00,2023-06-06 17:40:00,198.0,2,1,7,37.0,10117.0,5077.0,11857.0,6097.0,10500.0,5412.0,-
292009,10182610745885,Reimbursement Claims,Closed,Low,Mail,2023-04-02 21:26:00,2023-06-08 00:33:00,2023-04-03 15:12:00,2023-04-03 15:12:00,2023-05-18 23:56:00,1107.0,Offered,1,6,720.0,28208.0,13834.0,66390.0,33120.0,53527.0,14678.0,-
292342,10191453399965,Support,Closed,Low,Mail,2023-04-03 12:40:00,2023-05-27 06:08:00,2023-04-03 12:43:00,2023-04-03 12:43:00,2023-04-28 21:07:00,608.0,Offered,1,3,18.0,18.0,18.0,36507.0,18499.0,1594.0,866.0,Claims
292624,7303156639133,Reimbursement Claims,Closed,Low,Mail,2023-04-03 15:16:00,2023-06-07 07:36:00,2023-05-12 18:15:00,2023-04-03 15:23:00,2023-05-13 12:51:00,958.0,Offered,1,11,25.0,284.0,284.0,57455.0,28655.0,14914.0,7714.0,-
293735,10216919947293,Support,Closed,Low,Mail,2023-04-04 15:47:00,2023-05-06 06:04:00,2023-04-04 16:05:00,2023-04-04 16:05:00,2023-04-07 15:17:00,72.0,2,1,5,28.0,1099.0,379.0,4290.0,2130.0,2261.0,821.0,Claims
293764,9805838534173,Support,Closed,Low,Closed Ticket,2023-04-04 16:05:00,2023-06-02 06:09:00,2023-04-04 17:28:00,2023-04-04 17:28:00,2023-05-04 13:49:00,718.0,Offered,1,6,92.0,318.0,294.0,43064.0,21464.0,3419.0,1761.0,Claims
294680,10235722607645,Support,Closed,Low,Mail,2023-04-05 13:22:00,2023-06-06 06:12:00,2023-04-05 14:35:00,2023-04-05 14:35:00,2023-05-08 12:54:00,792.0,4,1,4,1358.0,7459.0,3859.0,47491.0,23731.0,11453.0,5689.0,Claims
294816,8168987904285,Support,Hold,Low,Closed Ticket,2023-04-05 15:08:00,2023-04-17 19:09:00,2023-04-05 17:45:00,2023-04-05 17:45:00,2023-05-08 12:54:00,96.0,Offered,1,6,251.0,251.0,251.0,5751.0,2880.0,13678.0,7198.0,Claims
294838,10238343580061,Support,Closed,Low,Mail,2023-04-05 15:23:00,2023-05-10 06:11:00,2023-04-06 10:22:00,2023-04-05 16:39:00,2023-04-11 12:22:00,141.0,4,1,3,429.0,1149.0,429.0,8458.0,4138.0,1311.0,591.0,Is my treatment covered (IMTC)
296038,9789958097437,Reimbursement Claims,Solved,Low,Mail,2023-04-06 15:39:00,2023-06-09 10:42:00,2023-04-06 15:47:00,2023-04-06 15:47:00,2023-06-09 10:42:00,1531.0,Offered,1,13,198.0,198.0,198.0,91863.0,45783.0,88579.0,14678.0,-
296161,8287777634845,Reimbursement Claims,Closed,Low,Mail,2023-04-06 16:51:00,2023-06-18 16:35:00,2023-04-06 18:24:00,2023-04-06 18:24:00,2023-05-29 15:56:00,1271.0,Offered,1,12,106.0,106.0,106.0,76265.0,38105.0,57419.0,14678.0,-
296403,6764218515229,Support,Closed,Low,Internal Communication,2023-04-06 20:26:00,2023-05-25 06:10:00,2023-04-07 13:13:00,2023-04-07 13:13:00,2023-04-26 14:58:00,475.0,Offered,1,3,515.0,1235.0,515.0,28472.0,14072.0,10083.0,5043.0,-
297288,10129329292317,Reimbursement Claims,Closed,Low,Mail,2023-04-08 08:22:00,2023-06-07 07:36:00,2023-04-09 22:26:00,2023-04-09 22:26:00,2023-05-12 10:36:00,818.0,Offered,1,15,2160.0,3767.0,2160.0,49094.0,24576.0,42051.0,14678.0,-
298962,7239597056413,Reimbursement Claims,Closed,Low,Mail,2023-04-10 21:06:00,2023-06-15 19:40:00,2023-04-11 09:54:00,2023-04-11 09:54:00,2023-05-26 19:25:00,1102.0,Offered,1,3,1180.0,10851.0,5097.0,66140.0,33026.0,59722.0,14678.0,-
299903,10341801887901,Reimbursement Claims,Hold,Low,Mail,2023-04-11 16:56:00,2023-04-20 16:31:00,2023-04-12 10:20:00,2023-04-12 10:20:00,2023-05-26 19:25:00,96.0,Offered,1,5,702.0,1422.0,702.0,5751.0,2880.0,7140.0,3540.0,-
300016,7273975050013,Reimbursement Claims,Hold,Low,Mail,2023-04-11 18:25:00,2023-06-16 09:20:00,2023-04-12 10:56:00,2023-04-12 10:56:00,2023-05-26 19:25:00,96.0,Offered,1,16,590.0,1310.0,590.0,5751.0,2880.0,90030.0,14678.0,-
300121,10093281590685,Reimbursement Claims,Closed,Low,Mail,2023-04-11 19:47:00,2023-06-09 21:37:00,2023-04-12 11:08:00,2023-04-12 11:08:00,2023-05-20 20:31:00,937.0,Offered,1,8,793.0,1717.0,793.0,56205.0,27045.0,36520.0,14678.0,-
300395,10354417506717,Support,Closed,Low,Mail,2023-04-12 07:44:00,2023-05-23 06:11:00,2023-04-12 08:48:00,2023-04-12 08:48:00,2023-04-24 08:36:00,289.0,4,1,4,87.0,1772.0,977.0,17332.0,8640.0,12274.0,5743.0,Claims
300429,10355118491165,Support,Solved,Low,Mail,2023-04-12 09:58:00,2023-06-07 14:21:00,2023-06-07 14:21:00,2023-04-12 10:44:00,2023-05-30 14:13:00,1156.0,Offered,1,17,57.0,3045.0,1605.0,69376.0,34816.0,60305.0,14678.0,Is my treatment covered (IMTC)
300603,7303442422173,Reimbursement Claims,Closed,Low,Mail,2023-04-12 12:19:00,2023-06-07 07:35:00,2023-04-12 16:01:00,2023-04-12 16:01:00,2023-05-16 18:06:00,822.0,Offered,1,5,1472.0,2912.0,1472.0,49307.0,24827.0,22066.0,11265.0,-
300780,10361783216285,Support,Closed,Low,Mail,2023-04-12 14:40:00,2023-05-31 06:09:00,2023-04-28 14:19:00,2023-04-12 15:45:00,2023-05-02 13:24:00,479.0,Offered,1,7,103.0,1392.0,672.0,28724.0,14324.0,10017.0,4977.0,Not Applicable
301269,8394942144541,Reimbursement Claims,Closed,Low,Mail,2023-04-12 23:02:00,2023-06-14 01:34:00,2023-04-13 11:01:00,2023-04-13 11:01:00,2023-05-25 01:04:00,1010.0,Offered,1,8,148.0,1052.0,454.0,60602.0,30240.0,59310.0,14678.0,-
302320,10339082226205,Support,Solved,Low,Mail,2023-04-13 19:01:00,2023-06-02 19:15:00,2023-04-14 08:21:00,2023-04-14 08:21:00,2023-06-02 19:15:00,1200.0,4,1,7,5766.0,10105.0,5065.0,72013.0,36013.0,70769.0,14678.0,-
302787,7760561594141,Support,Closed,Low,Mail,2023-04-14 10:43:00,2023-05-16 06:09:00,2023-04-14 10:55:00,2023-04-14 10:55:00,2023-04-17 12:55:00,74.0,4,1,5,29.0,82.0,82.0,4452.0,2292.0,4282.0,2122.0,-
303664,7223472162077,Support,Closed,Low,Internal Communication,2023-04-15 09:09:00,2023-05-23 06:10:00,2023-04-15 11:22:00,2023-04-15 11:22:00,2023-04-24 14:57:00,222.0,Offered,1,6,168.0,458.0,458.0,13307.0,6827.0,961.0,957.0,-
304530,9765224843549,Reimbursement Claims,Solved,Low,Mail,2023-04-17 09:58:00,2023-06-15 10:52:00,2023-04-17 15:01:00,2023-04-17 15:01:00,2023-06-15 10:52:00,1417.0,Offered,1,10,1049.0,1769.0,1049.0,85014.0,42534.0,65805.0,14678.0,-
306107,7976458398493,Endorsements,Closed,Low,Mail,2023-04-18 15:54:00,2023-06-13 21:36:00,2023-04-19 12:01:00,2023-04-19 12:01:00,2023-05-24 20:57:00,869.0,Offered,1,8,26.0,9902.0,4862.0,52143.0,26223.0,19665.0,9715.0,-
